URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,81,34,0.408695649,0.025795829,155.0909091,0.348518112,62.17577088,23.33766234,635,1822,3924,1,5.610318332
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,71,38,0.302752291,0.022587269,118.0428571,0.232032854,47.309956,20.28571429,339,1461,2667,6,4.73100616
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,74,38,0.321428569,0.020665901,126.7209302,0.328358209,50.81971538,19.88372093,572,1742,3607,3,5.323765786
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,86,28,0.508771925,0.034544372,115.2891566,0.234067898,46.20928981,20,393,1679,3127,18,4.759976176
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,71,28,0.43434343,0.023717595,143.7432432,0.250965251,57.5976834,23.60810811,455,1813,3375,18,4.94429123
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,57,24,0.407407402,0.024608501,135.0689655,0.252050708,54.12840649,22.48275862,338,1341,2513,21,4.912751678
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,29,12,0.414634136,0.022280472,99.84444444,0.250327654,40.03790884,16.53333333,191,763,1433,7,4.972477064
44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,,,,,,,,,,,,,
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,44,13,0.54385964,0.040735874,118.5,0.226018397,47.49040736,20.36111111,172,761,1356,2,4.689881735
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,80,41,0.322314047,0.01748095,156.2682927,0.257283729,62.61023056,26.3902439,574,2231,4237,11,4.810398924
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,63,69,-0.045454545,-0.002818225,117.2403846,0.255049319,46.99817357,19.07692308,543,2129,3945,1,4.844058243
48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,47,22,0.362318835,0.020593081,139.1071429,0.319604613,55.77069899,21.44642857,388,1214,2562,10,5.473640857
49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,42,29,0.183098589,0.01010101,104.4084507,0.255633256,41.86563358,17.42253521,329,1287,2402,6,4.853923854
50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,75,24,0.51515151,0.029344074,158.2698413,0.241081703,63.40436919,26.93650794,419,1738,3249,22,4.79689298
51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,82,24,0.547169806,0.03409759,127.1139241,0.266313933,50.95209519,20.88607595,453,1701,3293,11,4.980011758
52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,28,0,0.999999964,0.054474708,142.5217391,0.326848249,57.13943495,22.26086957,168,514,1097,0,5.426070039
53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,104,39,0.454545451,0.034648188,1169,0.229211087,467.6916844,201.6666667,430,1876,3353,16,4.645522388
54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,35,0,0.999999971,0.035787321,105.6964286,0.316973415,42.40536079,17.21428571,310,978,1930,0,5.122699387
55,https://insights.blackcoffer.com/evolution-of-advertising-industry/,15,6,0.428571408,0.012244898,108.9069767,0.326530612,43.69340294,16.8372093,240,735,1508,1,5.443537415
56,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,5,4,0.111111099,0.003021148,148.7142857,0.3081571,59.60897713,23.42857143,102,331,662,2,5.341389728
57,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,,,,,,,,,,,,,
58,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,35,69,-0.326923074,-0.02425107,148.0175439,0.283166904,59.32028431,24.31578947,397,1402,2756,2,5.069900143
59,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,21,15,0.166666662,0.008185539,144.7,0.253751705,57.98150068,24.4,186,733,1394,4,4.964529332
60,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,74,38,0.321428569,0.018045113,123.7934783,0.230576441,49.60962188,21.15217391,460,1995,3677,10,4.779448622
61,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,53,3,0.892857127,0.07256894,91.84444444,0.284470247,36.85156588,15.13333333,196,689,1329,4,5.075471698
62,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,9,1,0.79999992,0.019950125,136.5882353,0.229426434,54.72706469,22.76470588,92,401,755,0,4.867830424
63,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,36,9,0.599999987,0.022978723,139.2916667,0.248510638,55.81607092,23.875,292,1175,2138,4,4.755744681
64,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,28,8,0.55555554,0.031496063,160.44,0.311811024,64.30072441,24.88,198,635,1330,1,5.376377953
65,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,20,9,0.379310332,0.0275,83,0.255,33.302,13.62068966,102,400,797,0,5.1025
66,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,6,0,0.999999833,0.035714286,96.90909091,0.321428571,38.89220779,15.27272727,54,168,350,2,5.410714286
67,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,27,37,-0.156249998,-0.011709602,82.78571429,0.196721311,33.19297424,14.48214286,168,854,1492,19,4.544496487
68,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,11,2,0.692307639,0.047619047,100.4545455,0.248677249,40.28128908,17.18181818,47,189,364,1,4.904761905
69,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,54,19,0.479452048,0.029610829,122.6349206,0.353637902,49.19542341,18.52380952,418,1182,2586,0,5.602368866
70,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,14,18,-0.124999996,-0.00729927,154.6190476,0.27919708,61.95929788,25.52380952,153,548,1034,11,4.98540146
71,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,24,37,-0.213114751,-0.011981567,124.5,0.233179724,49.89327189,21.42,253,1085,1984,7,4.796313364
